keywords,weight
发票,1.0
代开,0.9697089012664247
电话,0.8075546887012925
公司,0.7892796487331694
付款,0.7699189325321038
行业,0.7239859384252233
建行,0.6462649915180947
北京市,0.5624497253065676
尊敬,0.510894643189785
信用卡,0.5107366002202162
咨询,0.4978570561800299
打扰,0.4909543454147227
增值税,0.45851825097935234
办理,0.4352321959565692
直达,0.3905900531634247
抵押,0.38325932504971344
用户,0.3792356954502258
北京,0.3280260990976202
生态,0.32188028470145946
转账,0.31978024221624995
急用,0.29779236938065007
以备,0.2870182569506375
可开,0.2726293536548452
贷款,0.2622962862122829
升级,0.261623711402867
品牌,0.258630837840807
专业,0.25567722899626233
可验,0.25311507219553714
冰箱,0.2506310684900996
登录,0.24491733846071323
请谅解,0.24225260367998844
联系,0.22754070702864745
科技,0.22694703866226024
生活馆,0.2240506528827352
网址,0.2226731934628531
广告,0.22143137654833103
信息,0.22141899530273654
服务,0.22039342120188832
现房,0.21875405228745842
优惠,0.214295194020555
世界,0.2142240386661286
房租,0.21185016513901053
敬请,0.20923127918532272
欢迎,0.2028644599606318
设备,0.20134352141535725
牛肉,0.19781786203883384
材料,0.19457906910633016
需要,0.1942249771756887
账户,0.19155032689518112
建筑,0.19025824755564802
取现,0.18560968010692455
火热,0.18554913011059668
展厅,0.18432302159414526
保留,0.18292593117651038
玩家,0.17921380075592988
公交,0.1769856620400966
网贷,0.1764737066349974
借款,0.1748492093499866
定位,0.17381596157621476
保存,0.1731238631132497
累计,0.1728006312656884
安装,0.17176511252323812
大额,0.17085416182573263
通州,0.16862487988494373
户型,0.16860907537492115
手机,0.1663444449270204
点滴,0.16402730940880225
谅解,0.1621429243753507
地址,0.16200497410199682
分类,0.16149897166119861
免费,0.16111281543063363
位置,0.16091191903971913
培训,0.16016823891875828
装修,0.15949714451631714
找回,0.15348535347453543
游艺,0.15334555866216382
自动,0.1488081546232185
美女,0.14836554953330347
对公,0.1475160514137278
核实,0.14716116679804112
材料费,0.14694834432482742
内衣,0.1469481828631311
维修,0.14685721538670715
机打,0.14636818678812652
单位,0.1460782853429081
潮汕,0.14541472498878832
电梯,0.14514001982398714
丢失,0.14505746916421763
特价,0.1446772992416645
使用,0.14360154618171345
详询,0.14144969408627475
阔景,0.14128014409315404
楼间距,0.14058823983812702
演艺,0.14058823983812702
特权,0.14058823983812702
查询,0.1399417836210387
技术,0.1398963355831
家政,0.1398963355831
娱乐,0.1398963355831
原价,0.1398963355831
